Ierarhie,Criteriu de Acceptare Scurt (Titlu),Sursă din Document,Prioritate,Proprietar,Stare,Data de începere,Data de încheiere,Note
User,Trimitere Solicitări/Sugestii,Trimitere solicitări / sugestii către ONG (secțiune Mesaje).,P2,,Neînceput,,,
User (Utilizator ONG),Sponsorizare Directă,"Sponsorizare directă către ONG sau proiect (alegere sumă, destinație, opțional document fiscal). ",P0,,Neînceput,,,
Organization,Segmentare Entități,Segmentare entități pe tipuri și nivel de implicare.,P0,,Neînceput,,,
Organization,Istoric Alerte/Notificări,"Istoric al alertelor trimise (data, tip, status trimitere). ",P0,,Neînceput,,,
Project,Vizualizare Proiecte Implicare Entitate,Proiecte în care a fost implicat (pentru o Entitate).,P0,,Neînceput,,,
Project,Asociază Contribuție cu Proiect,Proiect / activitate susținută (dacă este cazul) în Istoric Donații / Sponsorizări.,P0,,Neînceput,,,
Activity,Asociază Contribuție cu Activitate,Proiect / activitate susținută (dacă este cazul) în Istoric Donații / Sponsorizări.,P0,,Neînceput,,,
Entity,Înregistrare Entitate Detaliată,"Date pentru o Entitate (Tip, Nume/Denumire, CNP/CUI, Funcție/Reprezentant legal, Adresă, Tip relație, Status relație). ",P0,,Neînceput,,,
Entity,Gestiune Parteneri Proiect,"Parteneri (opțional, persoane juridice sau fizice externe). ",P1,,Neînceput,,,
Entity,Istoric Complet Relație,Istoric complet al relației cu fiecare entitate (contribuții + comunicări).,P0,,Neînceput,,,
Entity,Notificări Follow-up,"Notificări automate pentru follow-up (ex: mulțumiri, reînnoire sponsorizare). ",P0,,Neînceput,,,
Entity,Gestiune Documente Atașate,"Posibilitatea de a atașa documente: contracte, acorduri, rapoarte. ",P0,,Neînceput,,,
Entity,Raport Personalizat: Impact,"Raport personalizat pentru donatori/sponsori: Impactul contribuției (indicatori, rezultate, activități desfășurate). ",P0,,Neînceput,,,
