Ierarhie,Criteriu de Acceptare Scurt (Titlu),Sursă din Document,Prioritate,Proprietar,Stare,Data de începere,Data de încheiere,Note
User (Superadmin),Creare Cont Superadmin,Date pentru contul de Superadmin.,P0,,Finalizat,,,
User (Superadmin),Gestiune ONG-uri (CRUD),Adaugă / editează / dezactivează ONG-uri.,P0,,Finalizat,,,
User (Superadmin),Gestiune Module ONG,Activează/dezactivează modulele CRM și ERP pentru fiecare ONG.,P0,,În curs,,,
User (Admin ONG),Creare Cont Manuală Utilizator ONG,Conturile pot fi create: Manual de către Adminul ONG (invitație + setare inițială de parolă).,P0,,Finalizat,,,
User (Admin ONG),Import Utilizatori CSV,Conturile pot fi create: Prin import de csv cu date.,P0,,Neînceput,,,
User (Admin ONG),Asociere Rol/Statut Utilizator,Fiecare cont este asociat unui ONG și unui statut (membru și/sau angajat).,P0,,Finalizat,,,
User (Utilizator ONG),Gestiune Autentificare,"Data și ora ultimei logări (Superadmin, Admin ONG, Utilizator ONG). ",P3,,Neînceput,,,
User (Membru),Istoric Plăți Cotizații,"Acces la istoricul cotizației proprii (sumă, perioadă, status plată, modalitate de plată). ",P0,,Neînceput,,,
User (Membru),Plata Online Cotizații,"Posibilitate de plată online, dacă e activată (integrare Stripe / EuPlatesc). ",P3,,Neînceput,,,
User (Angajat),Acces Rapoarte Proiecte,"Acces la rapoarte interne pe proiecte (vizualizare, nu generare). ",P1,,Neînceput,,,
User (Angajat),Încărcare Doc. Justificative,"Încărcare documente justificative (facturi, procese verbale etc.). ",P2,,Neînceput,,,
User (Membru),Propunere Activități,Propunere de activități / idei de inițiative (cu validare internă).,P3,,Neînceput,,,
User (Membru),Participare Sondaje/Voturi,Participare la sondaje interne sau voturi (dacă statutul permite).,P2,,Neînceput,,,
User (Membru),Descărcare Adeverință,Descărcare adeverință membru / voluntar (dacă este activ).,P2,,Neînceput,,,
User (Membru),Încărcare CV/Competențe,Încărcare CV / competențe – pentru a fi selectat în proiecte.,P2,,Neînceput,,,
Organization,Înregistrare Date ONG,"Date pentru fiecare ONG (Nume, CUI, Adresă, Email, Status, Data înregistrării etc.). ",P0,,Finalizat,,,
Organization,Export Restanțieri Cotizații,Posibilitate export al restanțierilor la cotizații.,P0,,Neînceput,,,
Organization,Raport Cotizații Restanțe,Raport financiar de Cotizații cu Diferență (restanțe) și Listă restanțieri.,P0,,Neînceput,,,
Organization,Raport Cotizații Statistica Plată,Raport financiar de Cotizații cu Metode de plată utilizate (statistică).,P0,,Neînceput,,,
Organization,Gestiune Membri - Detalii Cotizanți,"Date suplimentare pentru Membrii Cotizanți (Tip cotizație, Suma, Data ultimei cotizații plătite, Status plată cotizație, Istoric plăți). ",P0,,Neînceput,,,
Organization,Gestiune Membri - Detalii Voluntari,"Date suplimentare pentru Voluntari (Domenii de interes, Competențe, Ore disponibile, Acord de voluntariat semnat, Experiență anterioară). ",P0,,Neînceput,,,
Project,Alocare Resurse Umane pe Proiect,"Date pentru un Membru al Echipei de Proiect (Rol în proiect, Status în proiect, Tip angajare/colaborare, Perioadă de implicare). ",P0,,Neînceput,,,
Project,Raport Financiar Detaliat,"Raport financiar cu Venituri detaliate și Cheltuieli detaliate (pe categorii, activități sau linii bugetare). ",P0,,Neînceput,,,
Project,Raport Financiar Comparativ,Raport financiar cu Grafic sau tabel comparativ: buget estimat vs. buget realizat.,P3,,Neînceput,,,
Activity,Legare Obiectiv/Activitate,Obiectiv asociat (dacă se leagă de unul dintre obiectivele proiectului).,P3,,Neînceput,,,
Activity,Relație Logica Proiect/Activitate,Fiecare proiect poate avea mai multe activități; Fiecare activitate poate avea execuții bugetare proprii.,P0,Adrian Mitroiu-Georgescu,În curs,,,
